var,imp
CDK1,-0.011428571428571415
RUNX1,0.0
HLA-C,0.0
CD3E,0.0
DNAJC14,-0.005357142857142855
stage,-0.016071428571428563
PDCD1LG2,0.0
SLC11A1,0.11588095238095242
CD74,-0.006666666666666658
HLA-DPB1,-0.004642857142857139
SELL,0.025476190476190506
LILRA4,-0.019047619047619025
CXCR6,0.0
ICAM3,0.0
C8G,-0.007999999999999998
CD99,-0.00857142857142856
POLR2A,-0.001785714285714285
TNFRSF8,-0.005357142857142855
PIK3CG,0.0
IRF8,-0.0019047619047619026
TNFRSF1A,-0.005714285714285707
JAM3,0.0
IL1RN,0.0
VEGFA,0.09709523809523814
TIGIT,0.0
DOCK9,0.0
CD5,0.0
ENG,-0.001785714285714285
TLR7,-0.029523809523809487
ROPN1,0.0
JAK1,-0.026785714285714267
COL3A1,0.0
JAK3,-0.001785714285714285
CARD9,0.0
TNF,-0.016428571428571417
HLA-E,-0.01654761904761904
CD276,-0.00857142857142856
FOS,-0.04488095238095237
S100B,-0.004761904761904756
CLEC5A,0.04047619047619049
CCR1,-0.01428571428571428
ANP32B,0.0
TGFB2,0.04583333333333335
ILF3,-0.00714285714285714
AXL,0.0666666666666667
TLR5,0.0
ICOS,0.0
KLRK1,0.0
TLR8,0.0
CD38,0.0
ENTPD1,-0.001785714285714285
IL18,-0.00357142857142857
CCL8,-0.004761904761904756
lmr>2.1,0.0
BTK,-0.012380952380952366
CD4,-0.0019047619047619026
AMICA1,-0.01523809523809522
GNLY,-0.00857142857142856
SYK,0.036666666666666695
IKBKB,0.0
CXCL2,0.0
CDH1,-0.009523809523809513
KLRF1,0.0
MIF,0.019642857142857174
C2,0.0
PLAUR,0.041666666666666685
ELANE,-0.003809523809523805
CEBPB,0.013515873015873042
FCER1G,0.0
ICAM1,-0.01428571428571428
IL12RB1,-0.016190476190476172
STAT6,0.0
BATF,0.0
CLEC4C,-0.023214285714285705
CCL20,0.0
CASP10,0.0
CFP,-0.011071428571428565
CD59,-0.005714285714285707
CD58,0.07980952380952384
TLR2,-0.006666666666666658
TNFRSF4,-0.005714285714285707
BCL10,-0.016190476190476172
IGF1R,-0.005357142857142855
TOLLIP,0.0
IFI16,0.0
XCR1,0.0
LILRB3,-0.016071428571428563
CHUK,0.03333333333333335
PRAME,-0.023214285714285705
HLA-DRB4,0.0
FLT3,0.03511904761904764
C7,-0.04130952380952378
PMCH,-0.023214285714285705
SLAMF6,-0.01714285714285712
IRAK4,0.0
CNOT10,0.0
IL2,-0.02857142857142856
SAA1,0.06621428571428574
CCL21,-0.014166666666666652
TNFRSF10C,-0.02190476190476188
C1QB,0.0020238095238095445
CXCL16,-0.025595238095238077
MAGEB2,-0.014285714285714273
EDC3,0.0
ITGA4,0.0
CD70,-0.010119047619047614
MFGE8,-0.010476190476190464
TNFSF13,0.0
RPS6,-0.012499999999999995
C3,0.0
ERCC3,-0.005714285714285707
CXCL5,-0.030357142857142843
BLNK,-0.00357142857142857
CD24,-0.008928571428571425
IRF3,0.0
CXCR3,0.0
CXCL1,-0.01523809523809522
IL10,-0.02178571428571427
IKBKG,-0.012380952380952366
PDGFC,0.0
CD80,-0.017857142857142846
EIF2B4,-0.003809523809523805
ICOSLG,-0.0028571428571428537
G6PD,0.0
MX1,0.0
IL6,-0.01071428571428571
TICAM1,0.0
SPN,0.0
IL12RB2,0.0
CASP1,-0.01071428571428571
CCND3,0.0
CSF3R,-0.02797619047619045
RELB,-0.03154761904761903
HLA-G,-0.027142857142857125
CTSG,-0.011428571428571415
