var,imp
VEGFA,1
MFGE8,2
TLR5,3
CD80,4
SH2D1A,5
S100B,6
CXCL2,7
IL12RB1,8
HLA-C,9
CD8B,10
FCER2,11
CCL8,12
IL2,13
ENTPD1,14
NFATC3,15
ANXA1,16
CXCL3,17
HLA-DOB,18
CD247,19
DUSP6,20
GATA3,21
CCL21,22
CSF3R,23
ISG20,24
LILRA4,25
ITGA5,26
PMCH,27
SLC11A1,28
IL18,29
TLR2,30
FN1,31
TGFB2,32
CD70,33
C1QA,34
CCL5,35
TIGIT,36
PRAME,37
COL3A1,38
IL21,39
CD58,40
ECSIT,41
CXCR3,42
LRP1,43
CEBPB,44
THBS1,45
LY86,46
FUT7,47
C1QB,48
CLEC5A,49
TLR9,50
MIF,51
MUC1,52
stage,53
TNFRSF10C,54
ITGAE,55
ROPN1,56
NFATC2,57
EOMES,58
TLR8,59
IKBKB,60
CD79A,61
CDK1,62
DHX16,63
CFP,64
BCL2,65
CD38,66
TNFSF13,67
C8G,68
ELANE,69
CD99,70
ICAM1,71
CLEC7A,72
MERTK,73
XCR1,74
TXK,75
TNF,76
GNLY,77
SAA1,78
LILRB3,79
CD3E,80
CLEC4C,81
ITGA4,82
TNFRSF8,83
CD8A,84
MAGEB2,85
IFITM1,86
ATM,87
CD5,88
CTSG,89
TLR7,90
CXCL5,91
NUP107,92
CD79B,93
IL6,94
FOS,95
SPN,96
ETS1,97
IL1RN,98
AXL,99
RELB,100
CD276,101
CD96,102
CD22,103
CD4,104
LCK,105
PLAUR,106
CCND3,107
LTB,108
TNFRSF13C,109
lmr>2.1,110
KLRF1,111
FYN,112
GPI,113
HLA-G,114
IRF3,115
IGF1R,116
ENG,117
IL21R,118
CD86,119
G6PD,120
GZMM,121
FLT3LG,122
MS4A1,123
TCF7,124
LAG3,125
TNFSF8,126
BTLA,127
ERCC3,128
CCR7,129
FLT3,130
TNFRSF4,131
CX3CL1,132
RIPK2,133
IL12RB2,134
CXCL16,135
FCER1G,136
PDCD1LG2,137
SLAMF6,138
C3,139
TLR10,140
MX1,141
AMICA1,142
CD37,143
SYK,144
HLA-E,145
TICAM1,146
BATF,147
CD3D,148
ITGAL,149
TAP2,150
STAT5B,151
HLA-DPB1,152
SELL,153
CD59,154
CD6,155
CD40LG,156
CD7,157
DNAJC14,158
CD19,159
CD9,160
SIGIRR,161
IL1R1,162
ATF1,163
POLR2A,164
ITGA1,165
CHUK,166
POU2F2,167
BCL10,168
CDH1,169
A2M,170
APP,171
EIF2B4,172
KLRK1,173
PDGFRB,174
NUBP1,175
ICOS,176
CXCR5,177
PSMB9,178
CASP3,179
IFI16,180
BST1,181
EDC3,182
CCR1,183
PDGFC,184
BLNK,185
CD24,186
CYFIP2,187
ILF3,188
PIK3CD,189
TFRC,190
CD180,191
CARD9,192
MAP4K2,193
DUSP4,194
ZAP70,195
JAK1,196
CD28,197
PECAM1,198
IKBKG,199
BLK,200
JAK3,201
ICAM3,202
LY9,203
C2,204
BTK,205
PIK3CG,206
HLA-DRB4,207
JAM3,208
CCL20,209
NLRC5,210
ANP32B,211
CARD11,212
PSMB10,213
CYLD,214
RUNX1,215
CASP10,216
TBP,217
ITK,218
C7,219
CASP1,220
TOLLIP,221
CNOT10,222
CR2,223
IL6ST,224
CLEC6A,225
MCAM,226
IRF8,227
REPS1,228
C1R,229
CD27,230
IL10,231
AGK,232
IRAK4,233
CASP8,234
PAX5,235
CXCL1,236
SMPD3,237
IL16,238
HPRT1,239
RPS6,240
CD3G,241
MAP3K5,242
STAT6,243
TICAM2,244
TNFRSF1A,245
MAP3K1,246
DOCK9,247
CXCR6,248
ICOSLG,249
CD74,250
