gene_symbol,log2FoldChange,pvalue
A2M,0.9341289198606262,0.0
ABCB1,-0.09694541231126497,0.746
ABCF1,0.32102206736353267,0.149
ABL1,0.574965156794427,0.004
ADA,0.42454123112659836,0.191
ADORA2A,0.05429152148663974,0.676
AGK,0.5704645760743352,0.249
AICDA,0.0827816492450637,0.866
AIRE,-0.964518002322881,0.202
AKT3,-0.03568524970964049,0.776
ALAS1,0.2571370499419281,0.493
ALCAM,0.3939953542392569,0.226
AMBP,-0.11369337979094096,0.819
AMICA1,-0.13849012775841985,0.226
AMMECR1L,0.21325783972125656,0.204
ANP32B,-0.27290360046457174,0.038
ANXA1,0.9821312427410014,0.003
APOE,0.417909407665503,0.058
APP,0.8579442508710802,0.006
ARG1,-0.20173635307781668,0.787
ARG2,0.402816492450639,0.492
ATF1,0.47309523809523757,0.181
ATF2,0.5150638792102207,0.082
ATG10,0.20584204413472484,0.515
ATG12,0.42734030197444817,0.298
ATG16L1,0.23293844367015204,0.393
ATG5,0.5853542392566791,0.134
ATG7,0.22054006968641104,0.072
ATM,-1.1639488966318234,0.002
AXL,0.8088211382113837,0.0
BAGE,-0.0848432055749131,0.871
BATF,-0.25652148664343777,0.085
BAX,-0.031242740998839835,0.766
BCL10,-0.18302555168408752,0.085
BCL2,-0.344529616724742,0.141
BCL2L1,0.1654123112659711,0.085
BCL6,0.3777119628339154,0.163
BID,0.3274912891986066,0.465
BIRC5,-0.2085481997677121,0.307
BLK,-0.5485540069686401,0.212
BLNK,-0.10119047619047628,0.72
BMI1,0.3813182346109194,0.163
BST1,0.5037979094076661,0.015
BST2,-0.1396922183507563,0.302
BTK,-0.3836062717770048,0.008
BTLA,-0.5926306620209072,0.019
C1QA,0.6299883855981427,0.068
C1QB,0.5618931475029036,0.129
C1QBP,0.1652787456445992,0.31
C1R,1.1300058072009307,0.003
C1S,0.7379500580720109,0.009
C2,0.2112601626016275,0.412
C3,0.6318699186991878,0.192
C3AR1,0.5615447154471553,0.019
C4B,-0.17017421602787586,0.533
C4BPA,-0.09349012775842058,0.863
C5,0.40808362369338,0.306
C6,0.3695005807200924,0.636
C7,-0.7317828106852495,0.039
C8A,0.0011788617886177022,1.0
C8B,0.5066260162601626,0.403
C8G,-0.6068699186991875,0.247
C9,0.15578397212543438,0.777
CAMP,0.4090534262485481,0.545
CARD11,-0.6619512195121935,0.001
CARD9,-0.10181765389082109,0.658
CASP1,0.40175377468060347,0.293
CASP10,-0.2992915214866434,0.687
CASP3,-0.2636004645760721,0.038
CASP8,-0.21670731707316904,0.031
CC2D1B,0.09379790940766508,0.81
CCL1,0.43926248548199753,0.481
CCL11,0.7349535423925673,0.364
CCL13,0.6008420441347262,0.364
CCL14,0.8744831591173048,0.047
CCL15,-0.11199186991869903,0.85
CCL16,0.3339372822299651,0.637
CCL17,-0.643310104529613,0.279
CCL18,1.7303716608594666,0.001
CCL19,-0.09624274099883756,0.725
CCL2,0.9900638792102221,0.019
CCL20,1.106068524970965,0.082
CCL21,-0.9513588850174184,0.082
CCL22,0.7204529616724749,0.292
CCL23,1.3517073170731715,0.068
CCL24,0.05217189314750481,0.938
CCL25,0.41391986062717767,0.495
CCL26,-0.7025145180023227,0.248
CCL27,-0.08701509872241586,0.844
CCL28,-0.044512195121951204,0.745
CCL3,0.5595470383275281,0.088
CCL3L1,0.7090476190476185,0.015
CCL4,0.41229384436701544,0.124
CCL5,-0.15115563298490287,0.437
CCL7,0.4761091753774682,0.098
CCL8,0.862886178861789,0.097
CCND3,-0.32245063879210356,0.017
CCR1,1.0805574912891993,0.036
CCR2,0.35437282229965383,0.184
CCR3,0.02790940766550487,0.973
CCR4,0.3056562137049941,0.455
CCR5,0.04628339140534443,0.811
CCR6,0.05580720092915392,0.929
CCR7,-0.4193902439024395,0.109
CCR9,-0.23513356562137067,0.759
CCRL2,0.5665156794425084,0.108
CD14,0.6330487804878047,0.009
CD160,-0.7776074332171898,0.307
CD163,1.0825609756097556,0.01
CD164,0.39739837398373723,0.088
CD180,-0.6201974448315912,0.0
CD19,-0.9571254355400693,0.007
CD1A,-0.5358478513356557,0.4
CD1B,0.41659698025551695,0.522
CD1C,-0.21480255516840874,0.747
CD1D,0.039663182346107995,0.871
CD1E,-0.9666608594657369,0.215
CD2,-0.09950058072009327,0.724
CD200,0.16775261324042035,0.353
CD207,-0.2186469221835079,0.731
CD209,0.8264518002322889,0.101
CD22,-0.9157200929152136,0.0
